letter,frequency,showText
1930,590549,"<span class='icon-soccer-court'></span>Hosted By: Uruguay <img class='tinyFlag' src='../data/flags/uy.png'></img>"
1934,363000,"<span class='icon-soccer-court'></span>Hosted By: Italy <img class='tinyFlag' src='../data/flags/it.png'></img>"
1938,375700,"<span class='icon-soccer-court'></span>Hosted By: France <img class='tinyFlag' src='../data/flags/fr.png'></img>"
1950,1045246,"<span class='icon-soccer-court'></span>Hosted By: Brazil<img class='tinyFlag' src='../data/flags/br.png'></img>"
1954,768607,"<span class='icon-soccer-court'></span>Hosted By: Switzerland<img class='tinyFlag' src='../data/flags/ch.png'></img>"
1958,819810,"<span class='icon-soccer-court'></span>Hosted By: Sweden <img class='tinyFlag' src='../data/flags/se.png'></img>"
1962,893172,"<span class='icon-soccer-court'></span>Hosted By: Chile <img class='tinyFlag' src='../data/flags/cl.png'></img>"
1966,1563135,"<span class='icon-soccer-court'></span>Hosted By: England <img class='tinyFlag' src='../data/flags/gb.png'></img>"
1970,1603975,"<span class='icon-soccer-court'></span>Hosted By: Mexico <img class='tinyFlag' src='../data/flags/mx.png'></img>"
1974,1865753,"<span class='icon-soccer-court'></span>Hosted By: West Germany <img class='tinyFlag' src='../data/flags/de.png'></img>"
1978,1545791,"<span class='icon-soccer-court'></span>Hosted By: Argentina<img class='tinyFlag' src='../data/flags/ar.png'></img>"
1982,2109723,"<span class='icon-soccer-court'></span>Hosted By: Spain <img class='tinyFlag' src='../data/flags/es.png'></img>"
1986,2394031,"<span class='icon-soccer-court'></span>Hosted By: Mexico <img class='tinyFlag' src='../data/flags/mx.png'></img>"
1990,2516215,"<span class='icon-soccer-court'></span>Hosted By: Italy <img class='tinyFlag' src='../data/flags/it.png'></img>"
1994,3587538,"<span class='icon-soccer-court'></span>Hosted By: United States<img class='tinyFlag' src='../data/flags/us.png'></img>"
1998,2785100,"<span class='icon-soccer-court'></span>Hosted By: France <img class='tinyFlag' src='../data/flags/fr.png'></img>"
2002,2705197,"<span class='icon-soccer-court'></span>Hosted By: South Korea <img class='tinyFlag' src='../data/flags/kr.png'></img> & Japan <img class='tinyFlag' src='../data/flags/jp.png'></img>"
2006,3359439,"<span class='icon-soccer-court'></span>Hosted By: Germany <img class='tinyFlag' src='../data/flags/de.png'></img>"
2010,3178856,"<span class='icon-soccer-court'></span>Hosted By: South Africa <img class='tinyFlag' src='../data/flags/za.png'></img>"
2014,3429873,"<span class='icon-soccer-court'></span>Hosted By: Brazil <img class='tinyFlag' src='../data/flags/br.png'></img>"

