letter,frequency,showText
1930,8,"<span class='icon-soccer-shoe'></span>Top Player:<img class='tinyFlag' src='../data/flags/us.png'></img>"
1934,5,"<span class='icon-soccer-shoe'></span>Top Player:<img class='tinyFlag' src='../data/flags/us.png'></img>"
1938,7,"<span class='icon-soccer-shoe'></span>Top Player:<img class='tinyFlag' src='../data/flags/us.png'></img>"
1950,8,"<span class='icon-soccer-shoe'></span>Top Player:<img class='tinyFlag' src='../data/flags/us.png'></img>"
1954,11,"<span class='icon-soccer-shoe'></span>Top Player:<img class='tinyFlag' src='../data/flags/us.png'></img>"
1958,13,"<span class='icon-soccer-shoe'></span>Top Player:<img class='tinyFlag' src='../data/flags/us.png'></img>"
1962,4,"<span class='icon-soccer-shoe'></span>Top Player:<img class='tinyFlag' src='../data/flags/us.png'></img>"
1966,9,"<span class='icon-soccer-shoe'></span>Top Player:<img class='tinyFlag' src='../data/flags/us.png'></img>"
1970,10,"<span class='icon-soccer-shoe'></span>Top Player:<img class='tinyFlag' src='../data/flags/us.png'></img>"
1974,7,"<span class='icon-soccer-shoe'></span>Top Player:<img class='tinyFlag' src='../data/flags/us.png'></img>"
1978,6,"<span class='icon-soccer-shoe'></span>Top Player:<img class='tinyFlag' src='../data/flags/us.png'></img>"
1982,6,"<span class='icon-soccer-shoe'></span>Top Player:<img class='tinyFlag' src='../data/flags/us.png'></img>"
1986,6,"<span class='icon-soccer-shoe'></span>Top Player:<img class='tinyFlag' src='../data/flags/us.png'></img>"
1990,6,"<span class='icon-soccer-shoe'></span>Top Player:<img class='tinyFlag' src='../data/flags/us.png'></img>"
1994,6,"<span class='icon-soccer-shoe'></span>Top Player:<img class='tinyFlag' src='../data/flags/us.png'></img>"
1998,6,"<span class='icon-soccer-shoe'></span>Top Player:<img class='tinyFlag' src='../data/flags/us.png'></img>"
2002,8,"<span class='icon-soccer-shoe'></span>Top Player:<img class='tinyFlag' src='../data/flags/us.png'></img>"
2006,5,"<span class='icon-soccer-shoe'></span>Top Player:<img class='tinyFlag' src='../data/flags/us.png'></img>"
2010,5,"<span class='icon-soccer-shoe'></span>Top Player:<img class='tinyFlag' src='../data/flags/us.png'></img>"
2014,6,"<span class='icon-soccer-shoe'></span>Top Player:<img class='tinyFlag' src='../data/flags/us.png'></img>"
