letter,frequency,showText
1930,8,"<span class='icon-soccer-shoe'></span>Top Player: Guillermo Stábile <img class='tinyFlag' src='../data/flags/ar.png'></img>"
1934,5,"<span class='icon-soccer-shoe'></span>Top Player: Oldřich Nejedlý <img class='tinyFlag' src='../data/flags/cz.png'></img>"
1938,7,"<span class='icon-soccer-shoe'></span>Top Player: Leônidas<img class='tinyFlag' src='../data/flags/br.png'></img>"
1950,8,"<span class='icon-soccer-shoe'></span>Top Player: Ademir<img class='tinyFlag' src='../data/flags/br.png'></img>"
1954,11,"<span class='icon-soccer-shoe'></span>Top Player: Sándor Kocsis<img class='tinyFlag' src='../data/flags/hu.png'></img>"
1958,13,"<span class='icon-soccer-shoe'></span>Top Player: Just Fontaine<img class='tinyFlag' src='../data/flags/fr.png'></img>"
1962,4,"<span class='icon-soccer-shoe'></span>Top Player: Garrincha<img class='tinyFlag' src='../data/flags/br.png'></img> <br>Vavá<img class='tinyFlag' src='../data/flags/br.png'></img> <br>Leonel Sánchez<img class='tinyFlag' src='../data/flags/cl.png'></img> <br>Flórián Albert<img class='tinyFlag' src='../data/flags/hu.png'></img> <br>Valentin Ivanov<img class='tinyFlag' src='../data/flags/ru.png'></img>"
1966,9,"<span class='icon-soccer-shoe'></span>Top Player: Eusébio<img class='tinyFlag' src='../data/flags/pt.png'></img>"
1970,10,"<span class='icon-soccer-shoe'></span>Top Player: Gerd Müller<img class='tinyFlag' src='../data/flags/de.png'></img>"
1974,7,"<span class='icon-soccer-shoe'></span>Top Player: Grzegorz Lato<img class='tinyFlag' src='../data/flags/pl.png'></img>"
1978,6,"<span class='icon-soccer-shoe'></span>Top Player: Mario Kempes<img class='tinyFlag' src='../data/flags/ar.png'></img>"
1982,6,"<span class='icon-soccer-shoe'></span>Top Player: Paolo Rossi<img class='tinyFlag' src='../data/flags/it.png'></img>"
1986,6,"<span class='icon-soccer-shoe'></span>Top Player: Gary Lineker<img class='tinyFlag' src='../data/flags/gb.png'></img>"
1990,6,"<span class='icon-soccer-shoe'></span>Top Player: Salvatore Schillaci<img class='tinyFlag' src='../data/flags/it.png'></img>"
1994,6,"<span class='icon-soccer-shoe'></span>Top Player: Hristo Stoichkov<img class='tinyFlag' src='../data/flags/bg.png'></img><br>Oleg Salenko<img class='tinyFlag' src='../data/flags/ru.png'></img>"
1998,6,"<span class='icon-soccer-shoe'></span>Top Player: Davor Šuker<img class='tinyFlag' src='../data/flags/hr.png'></img>"
2002,8,"<span class='icon-soccer-shoe'></span>Top Player: Ronaldo<img class='tinyFlag' src='../data/flags/br.png'></img>"
2006,5,"<span class='icon-soccer-shoe'></span>Top Player: Miroslav Klose<img class='tinyFlag' src='../data/flags/de.png'></img>"
2010,5,"<span class='icon-soccer-shoe'></span>Top Player: Thomas Müller<img class='tinyFlag' src='../data/flags/de.png'></img> <br>David Villa<img class='tinyFlag' src='../data/flags/es.png'></img> <br>Wesley Sneijder<img class='tinyFlag' src='../data/flags/nl.png'></img> <br>Diego Forlán<img class='tinyFlag' src='../data/flags/uy.png'></img>"
2014,6,"<span class='icon-soccer-shoe'></span>Top Player: James Rodríguez<img class='tinyFlag' src='../data/flags/co.png'></img>"
