letter,frequency,showText
1930,70,"<span class='icon-futbol-o'></span> Highest Scoring Country: Argentina (18)<img class='tinyFlag' src='../data/flags/ar.png'></img>"
1934,70,"<span class='icon-futbol-o'></span> Highest Scoring Country: Italy (11)<img class='tinyFlag' src='../data/flags/it.png'></img> & Germany (11)<img class='tinyFlag' src='../data/flags/de.png'></img>"
1938,84,"<span class='icon-futbol-o'></span> Highest Scoring Country: Hungary (15)<img class='tinyFlag' src='../data/flags/hu.png'></img>"
1950,88,"<span class='icon-futbol-o'></span> Highest Scoring Country: Brazil (22)<img class='tinyFlag' src='../data/flags/br.png'></img>"
1954,140,"<span class='icon-futbol-o'></span> Highest Scoring Country: Hungary (27)<img class='tinyFlag' src='../data/flags/hu.png'></img>"
1958,126,"<span class='icon-futbol-o'></span> Highest Scoring Country: France (23)<img class='tinyFlag' src='../data/flags/fr.png'></img>"
1962,89,"<span class='icon-futbol-o'></span> Highest Scoring Country: Brazil (14)<img class='tinyFlag' src='../data/flags/br.png'></img>"
1966,89,"<span class='icon-futbol-o'></span> Highest Scoring Country: Portugal (17)<img class='tinyFlag' src='../data/flags/pt.png'></img>"
1970,95,"<span class='icon-futbol-o'></span> Highest Scoring Country: Brazil (19)<img class='tinyFlag' src='../data/flags/br.png'></img>"
1974,97,"<span class='icon-futbol-o'></span> Highest Scoring Country: Poland (16)<img class='tinyFlag' src='../data/flags/pl.png'></img>"
1978,102,"<span class='icon-futbol-o'></span> Highest Scoring Country: Argentina (15)<img class='tinyFlag' src='../data/flags/ar.png'></img> & Netherlands (15)<img class='tinyFlag' src='../data/flags/nl.png'></img>"
1982,146,"<span class='icon-futbol-o'></span> Highest Scoring Country: Italy (12)<img class='tinyFlag' src='../data/flags/it.png'></img> & West Germany (12)<img class='tinyFlag' src='../data/flags/de.png'></img>"
1986,132,"<span class='icon-futbol-o'></span> Highest Scoring Country: Argentina (14)<img class='tinyFlag' src='../data/flags/ar.png'></img>"
1990,115,"<span class='icon-futbol-o'></span> Highest Scoring Country: West Germany (15)<img class='tinyFlag' src='../data/flags/de.png'></img>"
1994,141,"<span class='icon-futbol-o'></span> Highest Scoring Country: Sweden (15)<img class='tinyFlag' src='../data/flags/se.png'></img>"
1998,171,"<span class='icon-futbol-o'></span> Highest Scoring Country: France (15)<img class='tinyFlag' src='../data/flags/fr.png'></img>"
2002,161,"<span class='icon-futbol-o'></span> Highest Scoring Country: Brazil (18)<img class='tinyFlag' src='../data/flags/br.png'></img>"
2006,147,"<span class='icon-futbol-o'></span> Highest Scoring Country: Germany (14)<img class='tinyFlag' src='../data/flags/de.png'></img>"
2010,145,"<span class='icon-futbol-o'></span> Highest Scoring Country: Germany (16)<img class='tinyFlag' src='../data/flags/de.png'></img>"
2014,171,"<span class='icon-futbol-o'></span> Highest Scoring Country: Germany (19)<img class='tinyFlag' src='../data/flags/de.png'></img>"
